latency	type	duration
102559	CH_2	
102684	CH_1	
102809	CH_2	
102934	CH_1	
103059	CH_2	
103184	CH_1	
103309	CH_2	
103434	CH_1	
103559	CH_2	
103684	CH_1	
103809	CH_2	
103934	CH_1	
104060	CH_2	
104185	CH_1	
104310	CH_2	
104435	CH_1	
104560	CH_2	
104685	CH_1	
104810	CH_2	
104935	CH_1	
105065	CH_0	
108942	CH_1	
109067	CH_2	
109192	CH_1	
109317	CH_2	
109442	CH_1	
109567	CH_2	
109692	CH_1	
109817	CH_2	
109942	CH_1	
110067	CH_2	
110192	CH_1	
110317	CH_2	
110443	CH_1	
110568	CH_2	
110693	CH_1	
110818	CH_2	
110943	CH_1	
111068	CH_2	
111193	CH_1	
111318	CH_2	
111443	CH_1	
111568	CH_2	
111693	CH_1	
111818	CH_2	
111943	CH_1	
112068	CH_2	
112194	CH_1	
112319	CH_2	
112444	CH_1	
112569	CH_0	
