latency	type	duration
5313	CH_1	
5438	CH_2	
5563	CH_1	
5688	CH_2	
5813	CH_1	
6064	CH_2	
6189	CH_1	
6314	CH_2	
6439	CH_1	
6564	CH_2	
6689	CH_1	
6939	CH_2	
7064	CH_1	
7189	CH_2	
7314	CH_1	
7440	CH_2	
7565	CH_1	
7815	CH_2	
7940	CH_1	
8065	CH_2	
8190	CH_1	
8315	CH_2	
8440	CH_1	
8691	CH_2	
8816	CH_1	
8941	CH_2	
9066	CH_1	
9075	CH_0	
12823	CH_1	
12948	CH_2	
13073	CH_1	
13198	CH_2	
13323	CH_1	
13448	CH_2	
13573	CH_1	
13824	CH_2	
13949	CH_1	
14074	CH_2	
14199	CH_1	
14324	CH_2	
14449	CH_1	
14699	CH_2	
14824	CH_1	
14950	CH_2	
15074	CH_1	
15200	CH_2	
15325	CH_1	
15450	CH_2	
15575	CH_1	
15825	CH_2	
15950	CH_1	
16075	CH_2	
16200	CH_1	
16326	CH_2	
16451	CH_1	
16584	CH_0	
20333	CH_1	
20583	CH_2	
20708	CH_1	
20958	CH_2	
21083	CH_1	
21208	CH_2	
21333	CH_1	
21459	CH_2	
21584	CH_1	
21834	CH_2	
21959	CH_1	
22084	CH_2	
22209	CH_1	
22334	CH_2	
22459	CH_1	
22710	CH_2	
22835	CH_1	
22960	CH_2	
23085	CH_1	
23210	CH_2	
23335	CH_1	
23836	CH_2	
23961	CH_1	
24086	CH_0	
27843	CH_1	
28093	CH_2	
28218	CH_1	
28343	CH_2	
28468	CH_1	
28719	CH_2	
28844	CH_1	
28969	CH_2	
29094	CH_1	
29219	CH_2	
29344	CH_1	
29469	CH_2	
29594	CH_1	
29845	CH_2	
29969	CH_1	
30095	CH_2	
30220	CH_1	
30720	CH_2	
30845	CH_1	
30970	CH_2	
31095	CH_1	
31470	CH_2	
31471	CH_1	
31596	CH_0	
35353	CH_1	
35478	CH_2	
35603	CH_1	
35853	CH_2	
35978	CH_1	
36103	CH_2	
36228	CH_1	
36353	CH_2	
36478	CH_1	
36729	CH_2	
36854	CH_1	
36979	CH_2	
37104	CH_1	
37229	CH_2	
37354	CH_1	
37604	CH_2	
37729	CH_1	
37855	CH_2	
37979	CH_1	
38105	CH_2	
38230	CH_1	
38480	CH_2	
38605	CH_1	
38730	CH_2	
38855	CH_1	
38980	CH_2	
39105	CH_1	
39112	CH_0	
42862	CH_1	
42987	CH_2	
43112	CH_1	
43237	CH_2	
43363	CH_1	
43613	CH_2	
43738	CH_1	
43863	CH_2	
43988	CH_1	
44113	CH_2	
44238	CH_1	
44363	CH_2	
44488	CH_1	
44739	CH_2	
44864	CH_1	
44989	CH_2	
45114	CH_1	
45239	CH_2	
45364	CH_1	
45614	CH_2	
45739	CH_1	
45864	CH_2	
45989	CH_1	
46115	CH_2	
46240	CH_1	
46490	CH_2	
46615	CH_1	
46620	CH_0	
50372	CH_1	
50497	CH_2	
50622	CH_1	
50747	CH_2	
50872	CH_1	
50997	CH_2	
51122	CH_1	
51247	CH_2	
51372	CH_1	
51623	CH_2	
51748	CH_1	
51873	CH_2	
51998	CH_1	
52123	CH_2	
52248	CH_1	
52499	CH_2	
52623	CH_1	
52749	CH_2	
52874	CH_1	
52999	CH_2	
53124	CH_1	
53374	CH_2	
53499	CH_1	
53624	CH_2	
53749	CH_1	
53874	CH_2	
53999	CH_1	
54124	CH_2	
54125	CH_1	
54129	CH_0	
57881	CH_1	
58131	CH_2	
58256	CH_1	
58381	CH_2	
58382	CH_1	
58506	CH_2	
58507	CH_1	
58757	CH_2	
58882	CH_1	
59007	CH_2	
59132	CH_1	
59382	CH_2	
59507	CH_1	
59633	CH_2	
59757	CH_1	
59883	CH_2	
60008	CH_1	
60258	CH_2	
60383	CH_1	
60508	CH_2	
60633	CH_1	
60758	CH_2	
60883	CH_1	
61133	CH_2	
61258	CH_1	
61384	CH_2	
61509	CH_1	
61634	CH_0	
65391	CH_1	
65641	CH_2	
65766	CH_1	
65891	CH_2	
66016	CH_1	
66141	CH_2	
66266	CH_1	
66517	CH_2	
66641	CH_1	
66767	CH_2	
66892	CH_1	
67017	CH_2	
67142	CH_1	
67392	CH_2	
67517	CH_1	
67642	CH_2	
67767	CH_1	
67892	CH_2	
68017	CH_1	
68268	CH_2	
68393	CH_1	
68518	CH_2	
68643	CH_1	
68768	CH_2	
68893	CH_1	
69144	CH_0	
