Latency	Type	Duration
88223	CB_1	
88348	CB_2	
88473	CB_1	
88598	CB_2	
88723	CB_1	
88848	CB_0	
92729	CB_1	
92854	CB_2	
92979	CB_1	
93104	CB_2	
93230	CB_1	
93355	CB_2	
93480	CB_1	
93605	CB_2	
93730	CB_1	
93855	CB_2	
93980	CB_1	
94105	CB_2	
94230	CB_1	
94355	CB_2	
94481	CB_1	
94606	CB_2	
94731	CB_1	
94856	CB_2	
94981	CB_1	
95106	CB_2	
95231	CB_1	
95356	CB_2	
95481	CB_1	
95606	CB_2	
95731	CB_1	
95856	CB_2	
95982	CB_1	
96107	CB_2	
96232	CB_1	
96362	CB_0	
100239	CB_1	
100364	CB_2	
100489	CB_1	
100614	CB_2	
100739	CB_1	
100864	CB_2	
100989	CB_1	
101114	CB_2	
101239	CB_1	
101364	CB_2	
101489	CB_1	
101615	CB_2	
101740	CB_1	
101865	CB_2	
101990	CB_1	
102115	CB_2	
102240	CB_1	
102365	CB_2	
102490	CB_1	
102615	CB_2	
102740	CB_1	
102865	CB_2	
102990	CB_1	
103116	CB_2	
103241	CB_1	
103366	CB_2	
103491	CB_1	
103616	CB_2	
103741	CB_1	
103871	CB_0	
107748	CB_1	
107873	CB_2	
107998	CB_1	
108123	CB_2	
108248	CB_1	
108373	CB_2	
108498	CB_1	
108623	CB_2	
108749	CB_1	
108874	CB_2	
108999	CB_1	
109124	CB_2	
109249	CB_1	
109374	CB_2	
109499	CB_1	
109624	CB_2	
109749	CB_1	
109874	CB_2	
109999	CB_1	
110124	CB_2	
110250	CB_1	
110375	CB_2	
110500	CB_1	
110625	CB_2	
110750	CB_1	
110875	CB_2	
111000	CB_1	
111125	CB_2	
111250	CB_1	
111380	CB_0	
