latency	type	duration
101364	CH_2	
101489	CH_1	
101615	CH_2	
101740	CH_1	
101865	CH_2	
101990	CH_1	
102115	CH_2	
102240	CH_1	
102365	CH_2	
102490	CH_1	
102615	CH_2	
102740	CH_1	
102865	CH_2	
102990	CH_1	
103116	CH_2	
103241	CH_1	
103366	CH_2	
103491	CH_1	
103616	CH_2	
103741	CH_1	
103871	CH_0	
107748	CH_1	
107873	CH_2	
107998	CH_1	
108123	CH_2	
108248	CH_1	
108373	CH_2	
108498	CH_1	
108623	CH_2	
108749	CH_1	
108874	CH_2	
108999	CH_1	
109124	CH_2	
109249	CH_1	
109374	CH_2	
109499	CH_1	
109624	CH_2	
109749	CH_1	
109874	CH_2	
109999	CH_1	
110124	CH_2	
110250	CH_1	
110375	CH_2	
110500	CH_1	
110625	CH_2	
110750	CH_1	
110875	CH_2	
111000	CH_1	
111125	CH_2	
111250	CH_1	
111380	CH_0	
